,id,filename,topic,iteration,buf_size
35123,uark8675aesirpresence14_87634_1831800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35124,uark8675aesirpresence12_87634_109698600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35125,uark8675aesirpresence11_87634_388313000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35126,uark8675aesirpresence22_87634_930879800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence22,8,192
35127,uark8675aesirpresence31_87634_931718100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence31,8,192
35128,uark8675aesirpresence11_87635_394425800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35129,uark8675aesirpresence33_87635_910698900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence33,8,192
35130,uark8675aesirpresence21_87635_941065700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence21,8,192
35131,uark8675aesirpresence13_87636_2473500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35132,uark8675aesirpresence12_87636_110806400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35133,uark8675aesirpresence11_87636_407239400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35134,uark8675aesirpresence11_87637_411731100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35135,uark8675aesirpresence45_87637_881813400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence45,8,192
35136,uark8675aesirpresence41_87637_882341800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence41,8,192
35137,uark8675aesirpresence25_87637_912737400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence25,8,192
35138,uark8675aesirpresence23_87637_913188300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence23,8,192
35139,uark8675aesirpresence15_87637_943623100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35140,uark8675aesirpresence14_87638_6744400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35141,uark8675aesirpresence12_87638_115433900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35142,uark8675aesirpresence11_87638_419684900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35143,uark8675aesirpresence24_87638_916125800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence24,8,192
35144,uark8675aesirpresence13_87639_10127600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35145,uark8675aesirpresence11_87639_431449500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35146,uark8675aesirpresence12_87640_121054900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35147,uark8675aesirpresence11_87640_441455400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35148,uark8675aesirpresence11_87641_452924600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35149,uark8675aesirpresence51_87641_873689900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence51,8,192
35150,uark8675aesirpresence32_87641_889818700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence32,8,192
35151,uark8675aesirpresence34_87641_904902400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence34,8,192
35152,uark8675aesirpresence22_87641_935454100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence22,8,192
35153,uark8675aesirpresence21_87641_950818400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence21,8,192
35154,uark8675aesirpresence14_87642_13003700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35155,uark8675aesirpresence13_87642_13413200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35156,uark8675aesirpresence12_87642_121811900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35157,uark8675aesirpresence11_87642_461808500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35158,uark8675aesirpresence42_87642_886011900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence42,8,192
35159,uark8675aesirpresence15_87642_946909400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35160,uark8675aesirpresence11_87643_476218700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35161,uark8675aesirpresence12_87644_121338800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35162,uark8675aesirpresence11_87644_487385200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35163,uark8675aesirpresence13_87645_24589600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35164,uark8675aesirpresence11_87645_490583300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35165,uark8675aesirpresence52_87645_904991100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence52,8,192
35166,uark8675aesirpresence23_87645_920067800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence23,8,192
35167,uark8675aesirpresence31_87645_935614000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence31,8,192
35168,uark8675aesirpresence14_87646_13926500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35169,uark8675aesirpresence12_87646_122217500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35170,uark8675aesirpresence11_87646_493774100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35171,uark8675aesirpresence11_87647_499461400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35172,uark8675aesirpresence35_87647_895697100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence35,8,192
35173,uark8675aesirpresence43_87647_911139500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence43,8,192
35174,uark8675aesirpresence25_87647_926672700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence25,8,192
35175,uark8675aesirpresence24_87647_927438600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence24,8,192
